sale_id,sale_date,customer_id,product_id,quantity,unit_price,total_amount,store_id,payment_type,discount,valid_customer,valid_product
1,2020-09-06,789.0,UNKNOWN_PRODUCT,1.0,1318.0,1318.0,S02,netbanking,0.05,True,False
2,2018-01-05,642.0,UNKNOWN_PRODUCT,3.0,1323.0,3969.0,S02,upi,0.0,True,False
3,2018-01-05,873.0,UNKNOWN_PRODUCT,3.0,1318.0,3954.0,UNKNOWN_STORE,card,0.0,True,False
4,2018-01-05,1412.0,UNKNOWN_PRODUCT,3.0,1318.0,3954.0,S01,card,0.05,True,False
5,2018-01-05,157.0,UNKNOWN_PRODUCT,1.0,1318.0,1318.0,S02,cash,0.0,True,False
6,2018-01-05,1289.0,UNKNOWN_PRODUCT,1.0,4341.0,4341.0,S01,card,0.0,True,False
7,2018-01-05,707.0,UNKNOWN_PRODUCT,1.0,1318.0,1318.0,,upi,0.0,True,False
8,2018-01-05,436.0,UNKNOWN_PRODUCT,3.0,1318.0,3954.0,S01,credit card,0.1,True,False
9,2018-01-05,495.0,UNKNOWN_PRODUCT,1.0,3328.0,3328.0,S01,credit card,0.0,True,False
10,2018-01-05,1218.0,UNKNOWN_PRODUCT,3.0,1318.0,3954.0,S01,upi,0.0,True,False
11,2018-01-05,536.0,UNKNOWN_PRODUCT,3.0,2154.0,6462.0,S01,netbanking,0.0,True,False
12,2018-01-05,59.0,UNKNOWN_PRODUCT,1.0,489.0,489.0,UNKNOWN_STORE,cash,0.1,True,False
13,2018-01-05,122.0,269,1.0,1462.0,1462.0,S02,netbanking,0.0,True,True
14,2018-01-05,289.0,UNKNOWN_PRODUCT,1.0,2819.0,2819.0,S03,upi,0.0,True,False
15,2018-01-05,UNKNOWN_CUSTOMER,UNKNOWN_PRODUCT,2.0,2917.0,5834.0,S01,cash,0.05,False,False
16,2018-01-05,127.0,UNKNOWN_PRODUCT,1.0,1318.0,1318.0,,cash,0.0,True,False
17,2018-01-05,235.0,UNKNOWN_PRODUCT,2.0,3926.0,7852.0,S01,card,0.0,True,False
